X_1,Y_1
0,449.5
1,429
2,438
3,428.5
7,432
8,434
9,434
10,424.5
11,430.5
14,467.5
15,434.5
16,434
17,427
18,443
19,442
20,458
21,426.5
22,464
23,469.5
24,456
25,427
26,484
27,433
29,452.5
30,434
31,429.5
33,443
35,434
36,437
37,433
38,443
39,443
40,440
41,445
42,445
43,445
44,432
45,485
46,443
47,445
48,445
49,447
51,460
53,470
55,479
57,450
59,434
60,443
63,430
64,434
65,438.5
66,436
67,445
68,445
70,458.5
72,746
75,490
77,445
78,462
79,459
80,800
81,445
82,491
84,445
88,445
90,445
92,560
103,445
104,445
105,445
106,434
107,437.5
108,445
109,447
110,445
111,439
112,445
113,434
114,427
115,434
116,429
117,426
118,457.5
119,451.5
120,434
121,433
122,431
123,475
124,532.5
125,754.5
126,424
127,447.5
128,448
129,435
130,462
131,476
132,470.5
133,445
134,429
135,461
136,490
137,531
138,486
139,510.5
140,547
141,546.5
142,551
143,525
144,557.5
145,553.5
146,495
147,495
148,482
149,493.5
150,485
151,550
152,524.5
153,490
154,515
155,551
156,524
157,537.5
158,578
159,582.5
160,594.5
161,582.5
162,589
163,566
164,549.5
165,525
166,596
167,596
168,589
169,564
170,524
171,551
172,482
173,534
174,503
175,524.5
176,544.5
177,554.5
178,482
179,546.5
180,551
181,583
182,552
183,551
184,523
185,514
186,509
187,486
188,495
189,486
190,495
191,495
192,482
193,497
194,496
195,492
196,466
197,464
198,448
199,460
200,525
201,448
202,514
203,445
204,454
205,462
206,445
207,453.5
208,445
209,445
210,432
211,422
212,462
213,422
214,465
215,457
216,431
217,460
218,442
219,445
220,432.5
221,424
222,445
223,473
224,459
225,437.5
226,460.5
227,458
228,459
229,422
230,475
231,457
232,448
233,459.5
234,451.5
235,446.5
236,456
237,461
238,453
239,429
240,449.5
241,434
242,435
243,430
244,443
245,445
246,436.5
247,434.5
248,442
249,448
250,432
251,436
252,445
253,447.5
254,449
255,440
256,442.5
257,441
258,445
259,455
260,422.5
261,447.5
262,423.5
263,425
264,452.5
265,459.5
266,464.5
267,433
268,442.5
269,442.5
270,452
271,434
272,444
273,445
274,434
275,445
276,434
277,422
278,428
279,432
280,432
281,430
282,425.5
283,434
284,434
285,431
286,445
287,445
288,432
289,434
290,434
291,434
292,438
293,445
294,429
295,423.5
296,449
297,445.5
298,432
299,439
300,432
301,439
302,418.5
303,443
304,434
305,445.5
306,445
307,442
308,434
309,462
310,431.5
311,430
312,440
313,430
314,443
315,454.5
316,430
317,433
318,426.5
319,441
320,432
321,446
322,440
323,426.5
324,431.5
325,430
326,422.5
327,420
328,445
329,441
330,434
331,433
332,434
333,440.5
334,443
335,445
336,443
337,432
338,419.5
339,433
340,421
341,442
342,445
343,484
344,459.5
345,491
346,530
347,492.5
348,519
349,479
350,493
351,492
352,496
353,481
354,481
355,474
356,496
357,476.5
358,433
359,434
360,434
361,434
362,445
363,430
